,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1
JXI,44.087795,45.304287,43.010746,43.42194,42.928513,40.141544,40.845135,42.253746,44.068092,45.106201,45.143612,47.893192,45.854385,47.926155,49.58371,48.288151,49.650394,50.374382,47.183113,47.436512,45.304966,47.543091,48.492592,47.310558,47.446205,49.163738,48.986286,48.54266,48.562374,50.376316,48.40464,51.59,52.84,54.049999,54.16,53.869999
RYU,79.867897,79.996696,75.132286,74.416374,75.122612,72.075462,74.816971,76.78212,79.533661,78.498329,79.99984,82.31321,79.689491,83.16214,84.743919,81.61824,84.465103,86.784317,81.859566,80.219749,77.566582,79.373817,82.158531,81.168083,82.80912,84.933151,86.489502,85.863052,88.502831,91.345345,87.604683,90.734444,93.951561,96.185661,97.209999,97.18
UPW,43.007504,42.189983,37.572319,37.983414,38.549435,35.190643,37.407444,38.556305,42.866035,42.162212,42.630287,46.962952,43.432995,45.932602,48.960491,46.359619,49.840912,52.090466,45.818966,42.633671,39.560448,42.437923,44.514088,43.669384,45.781151,46.943985,48.230122,47.013241,49.02734,51.851063,46.889668,50.826199,54.62442,57.333153,58.299999,57.860001
SDP,30.497969,30.667679,34.261547,33.373066,32.734158,35.609249,32.304886,31.646011,28.301718,28.271767,28.102057,25.786009,27.053846,26.105463,24.338476,25.656231,23.669619,22.511595,25.187031,27.053846,28.890713,26.664509,25.446587,25.786009,24.468256,23.659636,22.711254,23.469961,22.851015,21.123962,22.831051,21.063721,19.585566,18.606785,18.309999,18.32
GII,42.392765,44.160522,43.03717,44.178932,42.650444,41.085125,41.462639,42.640118,43.87661,45.750072,46.068565,48.016968,47.248844,49.684578,50.532341,49.513119,49.875084,50.675217,49.341663,50.743629,47.410458,47.72052,48.495674,47.865864,47.836792,49.270069,48.110542,47.570084,45.771839,46.60709,44.346996,49.110001,50.25,51.439999,52.169998,51.310001
FXU,25.19256,25.739172,24.425953,24.322769,24.715366,24.281267,25.22496,25.937119,26.470531,26.08952,26.328432,26.864967,26.031422,26.662254,27.048241,26.073618,26.613331,26.817228,25.263731,24.758844,23.855875,24.622913,25.316376,25.111425,25.550608,25.93478,27.055542,27.104696,27.252466,28.297983,26.414082,27.571743,28.148642,28.12875,28.389999,28.08
IGF,37.381008,38.967995,38.292244,39.005531,37.747894,36.208698,36.640423,37.788982,38.825989,40.262581,40.85244,42.488819,41.832363,43.779995,44.51498,43.770321,44.041107,43.857361,43.731644,44.263538,41.255901,41.439648,42.271339,41.565369,41.536358,43.005959,41.895176,41.403679,39.870213,40.636948,38.710281,42.720001,43.869999,44.82,45.490002,44.73
PXR,26.8452,29.43877,29.457872,29.448324,29.961258,30.384872,29.518387,32.247364,33.953728,33.886242,33.712715,32.980038,33.43314,34.361347,35.338951,35.116325,36.173367,35.433151,36.124668,39.843575,37.943886,36.954041,37.363976,36.164169,33.234646,35.794228,34.614418,35.654251,31.616304,32.434769,31.27496,34.59,34.924999,,,
EMIF,27.412224,28.899261,29.330875,28.796055,28.279995,26.703671,26.262676,27.256598,28.37686,30.123713,29.924345,29.88637,30.427513,32.180981,32.257446,32.305237,32.486832,31.072279,31.454596,33.24371,31.850029,31.49917,30.680504,29.598696,27.396093,28.930824,27.707285,28.04277,26.868567,27.638214,27.312593,29.940001,29.459999,28.639999,28.32,27.059999
PSCU,44.390728,44.428493,41.096355,41.087318,41.601784,44.14193,43.703346,46.090286,45.974941,46.791965,49.771736,49.252686,49.685226,50.07933,52.453533,51.549988,53.685902,55.285011,50.882641,50.674824,47.817703,49.011429,50.613258,51.778473,52.982849,53.514923,54.894684,57.082584,55.272434,55.798653,48.848644,52.709999,53.23,53.73,53.240002,52.400002
INXX,10.611651,11.410377,11.410377,11.324799,11.505465,10.488039,10.041132,11.642156,12.043947,12.808331,13.474717,13.210122,12.994528,14.013706,14.160703,13.85691,15.297479,14.650692,15.552274,15.388037,14.460809,13.93801,14.164885,13.31657,12.438663,12.922006,13.168609,11.708717,10.870267,11.758039,11.748174,10.88,10.86,11.99,11.76,10.8
FUTY,30.77618,30.785276,29.081093,28.980309,29.470438,28.185497,29.211601,29.845184,31.290804,31.066969,31.522728,32.76297,31.729433,32.81897,33.775322,32.695877,34.258114,34.830353,32.913345,32.076267,30.750168,31.768772,32.767982,32.651718,33.184612,34.068104,34.468903,34.038776,34.731457,36.071449,34.366901,35.906395,37.265663,37.999859,38.619999,38.610001
TOLZ,36.757248,37.658371,36.979191,37.952084,36.750084,35.67001,36.122353,37.057747,38.200989,38.991032,39.565975,40.322365,39.855453,41.35112,41.473766,40.662407,40.673771,41.140961,40.883533,41.643265,38.837585,38.568542,39.597153,40.128334,40.37944,41.777256,41.396038,40.535862,39.415131,40.006802,37.620399,41.71476,42.550247,43.684128,44.259998,43.900002
WBIC,19.267521,20.222939,20.112585,19.843111,19.658691,21.00979,21.126213,21.34214,21.397425,21.552412,21.955048,21.457886,21.656443,21.35718,20.688454,20.990553,21.164167,20.985947,21.910385,22.278158,21.377501,21.52858,21.789526,22.434669,22.390764,22.752663,23.224014,22.328522,20.9723,20.85137,19.76288,19.89609,20.749567,19.528868,20.0951,19.02
GHII,21.735086,22.690796,23.136398,23.243868,22.272888,22.530893,22.981512,23.869692,24.09211,24.501358,24.859571,25.323931,25.082788,26.1903,25.961365,26.373449,26.29785,26.112326,25.584511,26.243162,24.292528,24.149797,25.026991,25.478706,25.555593,26.327009,26.092276,25.323797,24.271391,25.031694,23.184259,25.780001,26.264999,26.32,26.179001,25.91
UTES,29.993006,29.786558,28.173229,28.237764,28.643082,27.772305,27.443449,28.458057,29.993767,29.991875,30.67219,31.824579,31.25457,32.126537,32.930176,31.692186,32.398827,33.170181,31.325476,30.79604,29.889704,30.757057,31.879202,31.382124,32.58469,33.131104,33.426392,33.20985,33.783371,34.754147,33.174774,34.856117,36.238846,37.268917,37.591,37.764999
